DATE,EVENT
21/4/16,SCHOOL
22/4/16,SCHOOL
23/4/16,SCHOOL
24/4/16,SCHOOL
25/4/16,SCHOOL
26/4/16,SCHOOL
27/4/16,SCHOOL
28/4/16,SCHOOL
29/4/16,SCHOOL
30/4/16,SCHOOL
1/5/16,SCHOOL
9/7/16,SCHOOL
10/7/16,SCHOOL
11/7/16,SCHOOL
12/7/16,SCHOOL
13/7/16,SCHOOL
14/7/16,SCHOOL
15/7/16,SCHOOL
16/7/16,SCHOOL
17/7/16,SCHOOL
18/7/16,SCHOOL
19/7/16,SCHOOL
20/7/16,SCHOOL
21/7/16,SCHOOL
22/7/16,SCHOOL
23/7/16,SCHOOL
24/7/16,SCHOOL
1/10/16,SCHOOL
2/10/16,SCHOOL
3/10/16,SCHOOL
4/10/16,SCHOOL
5/10/16,SCHOOL
6/10/16,SCHOOL
7/10/16,SCHOOL
8/10/16,SCHOOL
9/10/16,SCHOOL
10/10/16,SCHOOL
11/10/16,SCHOOL
12/10/16,SCHOOL
13/10/16,SCHOOL
14/10/16,SCHOOL
15/10/16,SCHOOL
16/10/16,SCHOOL
17/12/16,SCHOOL
18/12/16,SCHOOL
19/12/16,SCHOOL
20/12/16,SCHOOL
21/12/16,SCHOOL
22/12/16,SCHOOL
23/12/16,SCHOOL
24/12/16,SCHOOL
25/12/16,SCHOOL
26/12/16,SCHOOL
27/12/16,SCHOOL
28/12/16,SCHOOL
29/12/16,SCHOOL
30/12/16,SCHOOL
31/12/16,SCHOOL
1/1/17,SCHOOL
2/1/17,SCHOOL
3/1/17,SCHOOL
4/1/17,SCHOOL
5/1/17,SCHOOL
6/1/17,SCHOOL
7/1/17,SCHOOL
8/1/17,SCHOOL
9/1/17,SCHOOL
10/1/17,SCHOOL
11/1/17,SCHOOL
12/1/17,SCHOOL
13/1/17,SCHOOL
14/1/17,SCHOOL
15/1/17,SCHOOL
16/1/17,SCHOOL
17/1/17,SCHOOL
18/1/17,SCHOOL
19/1/17,SCHOOL
20/1/17,SCHOOL
21/1/17,SCHOOL
22/1/17,SCHOOL
23/1/17,SCHOOL
24/1/17,SCHOOL
25/1/17,SCHOOL
26/1/17,SCHOOL
27/1/17,SCHOOL
28/1/17,SCHOOL
29/1/17,SCHOOL
14/4/17,SCHOOL
15/4/17,SCHOOL
16/4/17,SCHOOL
17/4/17,SCHOOL
18/4/17,SCHOOL
19/4/17,SCHOOL
